DateTime,Power_Training_Predicted_Values
00:00.0,7.961324
00:00.0,11.427667
00:00.0,6.584946
00:00.0,3.7356036
00:00.0,3.1667862
00:00.0,6.861018
00:00.0,2.510691
00:00.0,0.8598188
00:00.0,1.4267998
00:00.0,0.74285245
00:00.0,2.3881922
00:00.0,10.670405
00:00.0,13.117393
00:00.0,33.131454
00:00.0,38.1514
00:00.0,38.598507
00:00.0,32.502293
00:00.0,32.865707
00:00.0,33.480846
00:00.0,31.299597
00:00.0,29.090899
00:00.0,26.734737
00:00.0,21.760792
00:00.0,20.053366
00:00.0,15.06177
00:00.0,13.732829
00:00.0,6.199927
00:00.0,6.2232184
00:00.0,7.9441137
00:00.0,3.904108
00:00.0,3.8049493
00:00.0,3.35781
00:00.0,5.9669123
00:00.0,4.6981854
00:00.0,5.109311
00:00.0,13.660357
00:00.0,14.583268
00:00.0,18.279068
00:00.0,24.856733
00:00.0,22.184586
00:00.0,17.399134
00:00.0,19.846848
00:00.0,15.466335
00:00.0,14.340412
00:00.0,13.676308
00:00.0,14.216104
00:00.0,7.139671
00:00.0,3.002567
00:00.0,0.60918874
00:00.0,0.18736914
00:00.0,0.069985986
00:00.0,-0.06758845
00:00.0,-0.03995943
00:00.0,-0.07036847
00:00.0,-0.071477294
00:00.0,-0.05395788
00:00.0,-0.019159973
00:00.0,-0.007907212
00:00.0,-0.01443404
00:00.0,0.047362447
00:00.0,0.15741527
00:00.0,0.14486653
00:00.0,0.04699725
00:00.0,0.95323324
00:00.0,0.8819192
00:00.0,1.285269
00:00.0,2.1693418
00:00.0,7.2311883
00:00.0,10.633188
00:00.0,11.548626
00:00.0,7.5773664
00:00.0,3.5144608
00:00.0,3.0871365
00:00.0,2.7750769
00:00.0,2.4436774
00:00.0,2.8484616
00:00.0,8.465323
00:00.0,2.7336493
00:00.0,3.275749
00:00.0,7.955769
00:00.0,4.099568
00:00.0,0.76290584
00:00.0,0.9653599
00:00.0,9.4065
00:00.0,6.5232277
00:00.0,26.151047
00:00.0,44.466053
00:00.0,37.301098
00:00.0,45.724945
00:00.0,39.822113
00:00.0,43.593815
00:00.0,47.337593
00:00.0,54.389225
00:00.0,44.82331
00:00.0,18.863117
00:00.0,25.32408
00:00.0,41.290382
00:00.0,35.40183
00:00.0,34.08046
00:00.0,42.19892
00:00.0,55.54248
00:00.0,25.028934
00:00.0,28.233639
00:00.0,30.110826
00:00.0,42.536922
00:00.0,25.796593
00:00.0,22.995712
00:00.0,13.825433
