,DateTime,Power_Training_Predicted_Values,power_gen_1,power_gen_2,power_gen_3
146,00:00.2,0.13381776,0.026763552000000003,0.060217992000000005,0.046836216
147,00:00.2,0.41212663,0.08242532600000001,0.1854569835,0.1442443205
148,00:00.2,2.4461975,0.4892395,1.1007888749999999,0.8561691249999999
149,00:00.2,9.882845,1.976569,4.44728025,3.4589957499999997
150,00:00.2,24.57426,4.914852,11.058417,8.600990999999999
151,00:00.3,31.471573,6.2943146,14.16220785,11.01505055
152,00:00.3,30.448095,6.089619,13.70164275,10.656833249999998
153,00:00.3,19.950342,3.9900684,8.9776539,6.982619699999999
154,00:00.3,21.9833,4.39666,9.892485,7.694154999999999
155,00:00.3,13.044746,2.6089492,5.8701357000000005,4.5656611
156,00:00.3,36.463734,7.292746800000001,16.4086803,12.7623069
157,00:00.3,13.007225,2.601445,5.8532512500000005,4.55252875
158,00:00.3,24.12914,4.8258280000000005,10.858113,8.445198999999999
159,00:00.3,8.365654,1.6731308,3.7645443,2.9279788999999994
160,00:00.3,22.536123,4.5072246,10.14125535,7.887643049999999
161,00:00.3,46.578686,9.3157372,20.9604087,16.302540099999998
162,00:00.3,15.535393,3.1070786,6.99092685,5.4373875499999995
163,00:00.3,15.91669,3.183338,7.1625105,5.570841499999999
164,00:00.3,3.916209,0.7832418,1.76229405,1.3706731499999998
165,00:00.3,21.174788,4.2349576,9.5286546,7.4111758
166,00:00.3,21.612083,4.3224165999999995,9.72543735,7.564229049999999
167,00:00.3,22.199114,4.439822800000001,9.9896013,7.7696899
168,00:00.3,19.793184,3.9586368000000003,8.9069328,6.9276143999999995
169,00:00.3,16.156984,3.2313968000000006,7.270642800000001,5.6549444
170,00:00.3,24.346046,4.8692092,10.9557207,8.5211161
171,00:00.4,23.509275,4.701855,10.579173749999999,8.22824625
172,00:00.4,30.416073,6.083214600000001,13.687232850000001,10.64562555
173,00:00.4,27.542439,5.508487800000001,12.394097550000001,9.63985365
174,00:00.4,24.482668,4.896533600000001,11.0172006,8.5689338
175,00:00.4,39.2896,7.85792,17.680320000000002,13.75136
176,00:00.4,43.115963,8.623192600000001,19.40218335,15.09058705
177,00:00.4,25.793072,5.1586144,11.6068824,9.0275752
178,00:00.4,24.538214,4.9076428000000005,11.0421963,8.5883749
179,00:00.4,20.087782,4.0175564,9.039501900000001,7.030723699999999
180,00:00.4,1.186405,0.237281,0.53388225,0.41524174999999997
181,00:00.4,1.3460073,0.26920146,0.6057032849999999,0.4711025549999999
182,00:00.4,1.3744526,0.27489051999999997,0.61850367,0.48105840999999994
183,00:00.4,2.7400646,0.54801292,1.2330290700000002,0.95902261
184,00:00.4,4.0239043,0.80478086,1.810756935,1.4083665049999998
185,00:00.4,4.369692,0.8739384,1.9663613999999998,1.5293921999999998
186,00:00.4,7.701543,1.5403086000000001,3.46569435,2.69554005
187,00:00.4,6.8197155,1.3639431000000002,3.068871975,2.386900425
188,00:00.4,23.543465,4.708693,10.594559250000001,8.24021275
189,00:00.4,14.199905,2.839981,6.38995725,4.969966749999999
190,00:00.5,30.01116,6.002232,13.505022,10.503905999999999
191,00:00.5,46.594425,9.318885,20.967491250000002,16.30804875
192,00:00.5,41.984367,8.3968734,18.89296515,14.694528449999998
193,00:00.5,40.32164,8.064328000000001,18.144738,14.112574
194,00:00.5,42.136417,8.4272834,18.961387650000002,14.747745949999999
195,00:00.5,31.654526,6.3309052,14.244536700000001,11.0790841
196,00:00.5,23.547703,4.7095405999999995,10.59646635,8.24169605
197,00:00.5,26.727987,5.3455974,12.02759415,9.35479545
198,00:00.5,44.823402,8.9646804,20.170530900000003,15.6881907
199,00:00.5,48.553997,9.7107994,21.84929865,16.99389895
200,00:00.5,41.280815,8.256162999999999,18.57636675,14.448285249999998
201,00:00.0,46.51949,9.303898,20.933770499999998,16.2818215
202,00:00.0,48.19726,9.639452,21.688767000000002,16.869041
203,00:00.0,35.917164,7.1834328,16.162723800000002,12.5710074
204,00:00.0,15.643553,3.1287106000000002,7.039598850000001,5.47524355
205,00:00.0,25.079145,5.015829,11.285615250000001,8.77770075
206,00:00.0,36.10289,7.220578000000001,16.2463005,12.6360115
207,00:00.0,38.803867,7.7607734,17.46174015,13.581353449999998
208,00:00.0,42.794487,8.5588974,19.25751915,14.978070449999997
